ACK_ID,ROW_ORDER,PROVIDER_FAIL_NAME,PROVIDER_FAIL_EIN,PROVIDER_FAIL_US_ADDRESS1,PROVIDER_FAIL_US_ADDRESS2,PROVIDER_FAIL_US_CITY,PROVIDER_FAIL_US_STATE,PROVIDER_FAIL_US_ZIP,PROVIDER_FAIL_FOREIGN_ADDRESS1,PROVIDER_FAIL_FOREIGN_ADDRESS2,PROVIDER_FAIL_FOREIGN_CITY,PROVIDER_FAIL_FOREIGN_PROV_ST,PROVIDER_FAIL_FOREIGN_CNTRY,PROVIDER_FAIL_FORGN_POSTAL_CD,PROVIDER_FAIL_SRVC_CODE,PROVIDER_FAIL_INFO_TEXT
"20190110145232P040147402519001",1,,,,,,,,,,,,,,,
"20190115153813P030131564701001",1,,,,,,,,,,,,,,,
"20190131080927P030001436025001",1,,,,,,,,,,,,,,,
"20190131141141P030001515301001",1,,,,,,,,,,,,,,,
"20190207090046P040028639629001",1,"AMERICAN FUNDS",,"P.O. BOX 6040",,"INDIANAPOLIS","IN",46206,,,,,,,,"AMERICAN FUNDS RKDIRECT DOES NOT PROVIDE A SCHEDULE C REPORT."
"20190221123532P040048752829001",1,,,,,,,,,,,,,,,
"20190306113325P040104464417001",1,,,,,,,,,,,,,,,
"20190402165459P030147380065001",1,,,,,,,,,,,,,,,
"20190415141752P040005963257001",1,,,,,,,,,,,,,,,
"20190429082003P040198885351001",1,"MEDICAL MUTUAL OF OHIO","341922587","2060 EAST 9TH STREET",,"CLEVELAND","OH",44115,,,,,,,,"PRESCRIPTION DRUG REBATES RECEIVED FROM THEIR PBM THAT MEDICAL MUTUAL OF OHIO RETAINED AND WOULD NOT DISCLOSE."
"20190515152821P030230903585001",1,,,,,,,,,,,,,,,
"20190524144522P030131578047001",1,,,,,,,,,,,,,,,
"20190524191219P030179007405001",1,,,,,,,,,,,,,,,
"20190529094344P030186792093001",1,"ANTHEM BLUE CROSS AND BLUE SHIELD",,,,,,,,,,,,,,"INFORMATION NOT AVAILABLE, SYSTEM PURGED FROM PAST YEARS"
"20190529101517P030253060471001",1,"ANTHEM BLUE CROSS BLUE SHIELD",,,,,,,,,,,,,,"SYSTEM PURGED, INFORMATION REQUESTED WAS TOO OLD."
"20190529102214P040011592597001",1,"AULTRA ADMINISTRATIVE GROUP",,,,,,,,,,,,,,"INFORMATION FOR SCH C NOT AVAILABLE DUE TO SYSTEM PURGE"
"20190529102631P040011592837001",1,"AULTRA ADMINISTRATIVE GROUP",,,,,,,,,,,,,,"NO INFORMATION PROVIDED FOR SCH C. INFORMATION TOO OLD, SYSTEM PURGED."
"20190529103007P040283748257001",1,"AULTRA ADMINISTRATIVE GROUP",,,,,,,,,,,,,,"INFORMATION TOO OLD. SYSTEM HAS BEEN PURGED"
"20190529123816P030253328967001",1,,,,,,,,,,,,,,,
"20190531143802P040197497421001",1,,,,,,,,,,,,,,,
"20190611105909P040311083009001",1,,,,,,,,,,,,,,,
"20190613133305P040012992117001",1,,,,,,,,,,,,,,,
"20190617115401P030149339983001",1,,,,,,,,,,,,,,,
"20190619140248P030014182393001",1,,,,,,,,,,,,,,,
"20190619150444P030297688295001",1,"CAREFIRST ADMINISTRATORS","521187907",,,,,,,,,,,,,"FAILED TO PROVIDE INFORMATION ON THE SOURCE OF THE INDIRECT COMPENSATION RECEIVED."
"20190619165432P030218486653001",1,,,,,,,,,,,,,,,
"20190620154616P030014352649001",1,,,,,,,,,,,,,,,
"20190621100844P040227407853001",1,,,,,,,,,,,,,,,
"20190621145706P040333863169001",1,,,,,,,,,,,,,,,
"20190624080033P040340249313001",1,,,,,,,,,,,,,,,
"20190624103100P040319686263001",1,,,,,,,,,,,,,,,
"20190624150127P030224323421001",1,,,,,,,,,,,,,,,
"20190624150909P040014047461001",1,,,,,,,,,,,,,,,
"20190624181606P040010863401001",1,,,,,,,,,,,,,,,
"20190625100018P030225602189001",1,,,,,,,,,,,,,,,
"20190626104837P030312862807001",1,,,,,,,,,,,,,,,
"20190627102614P040233695501001",1,,,,,,,,,,,,,,,
"20190627113026P040114532687001",1,,,,,,,,,,,,,,,
"20190627120850P040327120119001",1,,,,,,,,,,,,,,,
"20190627121620P040233804637001",1,"DELTA DENTAL PLAN OF OH","310685339",,,,,,,,,,,,,"NO SCHEDULE C INFORMATION PROVIDED"
"20190627121653P030228065725001",1,"EYEMED VISION PLAN - AGENTS","430949844",,,,,,,,,,,,,"NO SCHEDULE C INFORMATION PROVIDED."
"20190627140524P040233933901001",1,,,,,,,,,,,,,,,
"20190628102648P030319950577001",1,,,,,,,,,,,,,,,
"20190628144601P030317557415001",1,,,,,,,,,,,,,,,
"20190701134356P030324283895001",1,,,,,,,,,,,,,,,
"20190702094753P040337962407001",1,,,,,,,,,,,,,,,
"20190703115348P030328215735001",1,,,,,,,,,,,,,,,
"20190708085340P030339737025001",1,"AMERICAN FUNDS/CAPITAL BANK AND TRU","060566090",,,,,,,,,,,,,"INDIRECT COMPENSATION REPORTING INFORMATION"
"20190708183508P040350649543001",1,,,,,,,,,,,,,,,
"20190710085530P030016314377001",1,,,,,,,,,,,,,,,
"20190710115051P030016297013001",1,,,,,,,,,,,,,,,
"20190710122302P040253910045001",1,,,,,,,,,,,,,,,
"20190711113257P030245688685001",1,,,,,,,,,,,,,,,
"20190712061858P030171444751001",1,,,,,,,,,,,,,,,
"20190712084927P030348853191001",1,,,,,,,,,,,,,,,
"20190712105630P030247331917001",1,,,,,,,,,,,,,,,
"20190712120329P030247454365001",1,,,,,,,,,,,,,,,
"20190712131925P040015856293001",1,,,,,,,,,,,,,,,
"20190712133333P030171582431001",1,,,,,,,,,,,,,,,
"20190712161950P030016506409001",1,,,,,,,,,,,,,,,
"20190712165341P040256987965001",1,,,,,,,,,,,,,,,
"20190715125320P040364136119001",1,,,,,,,,,,,,,,,
"20190715141701P040389775441001",1,,,,,,,,,,,,,,,
"20190715160044P030253164557001",1,,,,,,,,,,,,,,,
"20190715161237P030355062177001",1,,,,,,,,,,,,,,,
"20190715172636P040390221217001",1,,,,,,,,,,,,,,,
"20190716170449P040392893825001",1,"SCOTT SCHROEPFER INSURANCE AGENCY","431782064","PO BOX 274",,"WASHINGTON","MO",63090,,,,,,,,"FAILED TO PROVIDE A SCHEDULE C FOR CONSULTING SERVICES"
"20190716171223P040016233509001",1,,,,,,,,,,,,,,,
"20190717090752P030255772477001",1,,,,,,,,,,,,,,,
"20190717090952P030017003749001",1,,,,,,,,,,,,,,,
"20190717134314P030016892297001",1,,,,,,,,,,,,,,,
"20190717173119P030256305613001",1,,,,,,,,,,,,,,,
"20190718082342P040397169025001",1,,,,,,,,,,,,,,,
"20190718094513P030257499837001",1,,,,,,,,,,,,,,,
"20190718110319P040370999479001",1,,,,,,,,,,,,,,,
"20190718112235P040371019943001",1,"METHOD INTEGRATION INC",,,,,,,"410 ADELAIDE ST W","SUITE 300","TORONTO ON",,"CA",,,"SERVICE PROVIDER DOES NOT HAVE AN EIN FOR THEIR DIRECT COMPENSATION PAYMENTS $7,555."
"20190718140827P040397715457001",1,,,,,,,,,,,,,,,
"20190718151933P040397795809001",1,,,,,,,,,,,,,,,
"20190718152355P030361199313001",1,,,,,,,,,,,,,,,
"20190718152510P030361200465001",1,,,,,,,,,,,,,,,
"20190718170224P040264037933001",1,"BROADREACH MEDICAL RESOURCES, INC.",,"1350 BROADWAY, SUITE 410",,"NEW YORK","NY",10018,,,,,,,,"SERVICE PROVIDER FAILED TO PROVIDE SCHEDULE C AFTER SEVERAL ATTEMPTS BY TRUSTEE."
"20190719081159P030258842893001",1,,,,,,,,,,,,,,,
"20190719134042P040399960673001",1,,,,,,,,,,,,,,,
"20190722102001P030260332637001",1,,,,,,,,,,,,,,,
"20190722131916P030260475613001",1,,,,,,,,,,,,,,,
"20190723100808P040380558647001",1,,,,,,,,,,,,,,,
"20190723145732P040016960869001",1,,,,,,,,,,,,,,,
"20190723151518P030372413207001",1,,,,,,,,,,,,,,,
"20190724103610P040383039175004",1,"AXA EQUITABLE INSURANCE COMPANY","135570651","PO BOX 4956",,"SYRACUSE","NY",13221,,,,,,,,
"20190725123723P040275421997001",1,,,,,,,,,,,,,,,
"20190725123956P040275424573001",1,,,,,,,,,,,,,,,
"20190725124105P040275425373001",1,,,,,,,,,,,,,,,
"20190725175334P040385867815001",1,,,,,,,,,,,,,,,
"20190726091514P040387484679001",1,,,,,,,,,,,,,,,
"20190726093450P040276263133001",1,,,,,,,,,,,,,,,
