ACK_ID,ROW_ORDER,PROVIDER_FAIL_NAME,PROVIDER_FAIL_EIN,PROVIDER_FAIL_US_ADDRESS1,PROVIDER_FAIL_US_ADDRESS2,PROVIDER_FAIL_US_CITY,PROVIDER_FAIL_US_STATE,PROVIDER_FAIL_US_ZIP,PROVIDER_FAIL_FOREIGN_ADDRESS1,PROVIDER_FAIL_FOREIGN_ADDRESS2,PROVIDER_FAIL_FOREIGN_CITY,PROVIDER_FAIL_FOREIGN_PROV_ST,PROVIDER_FAIL_FOREIGN_CNTRY,PROVIDER_FAIL_FORGN_POSTAL_CD,PROVIDER_FAIL_SRVC_CODE,PROVIDER_FAIL_INFO_TEXT
"20150112154146P030040270295001",1,,,,,,,,,,,,,,,
"20150114084706P030060053009001",1,"FPA CRESCENT","133704901",,,,,,,,,,,,,"INDIRECT COMPENSATION"
"20150216112519P040122833249001",1,,,,,,,,,,,,,,,
"20150227134828P040144741281001",6,"ING FINANCIAL ADVISORS","061375177",,,,,,,,,,,,,"INDIRECT COMPENSATION AMOUNT"
"20150227134828P040144741281001",5,"PIONEER FUNDS","135657669",,,,,,,,,,,,,"INDIRECT COMPENSATION AMOUNT"
"20150227134828P040144741281001",4,"ING PARTNERS SERVICE","954516049",,,,,,,,,,,,,"INDIRECT COMPENSATION AMOUNT"
"20150227134828P040144741281001",3,"ING MUTUAL FUNDS","954516049",,,,,,,,,,,,,"INDIRECT COMPENSATION AMOUNT"
"20150227134828P040144741281001",2,"ILIAC","710294708",,,,,,,,,,,,,"INDIRECT COMPENSATION AMOUNT"
"20150227134828P040144741281001",1,"AMERICAN FUNDS","951411037",,,,,,,,,,,,,"INDIRECT COMPENSATION AMOUNT"
"20150302140741P030154530097001",1,,,,,,,,,,,,,,,
"20150324121238P030199531089001",1,,,,,,,,,,,,,,,
"20150421101905P030256527889004",1,"AXA EQUITABLE INSURANCE COMPANY","135570651","PO BOX 4956",,"SYRACUSE","NY",13221,,,,,,,,"AMOUNT OF DIRECT AND INDIRECT COMPENSATION"
"20150423152654P040188915495001",1,,,,,,,,,,,,,,,
"20150501113519P040200939015001",1,,,,,,,,,,,,,,,
"20150504164739P030193160839001",1,,,,,,,,,,,,,,,
"20150508171842P030064702989001",1,,,,,,,,,,,,,,,
"20150515121709P040030117615001",1,,,,,,,,,,,,,,,
"20150520141645P040001975149001",1,,,,,,,,,,,,,,,
"20150529142539P040008645853001",1,,,,,,,,,,,,,,,
"20150602151839P030007803309001",1,,,,,,,,,,,,,,,
"20150603082710P040025564631001",1,,,,,,,,,,,,,,,
"20150608072530P040033170007001",1,,,,,,,,,,,,,,,
"20150608094016P030035426295001",1,,,,,,,,,,,,,,,
"20150609112931P030043668929001",1,,,,,,,,,,,,,,,
"20150610154452P030046194257001",1,,,,,,,,,,,,,,,
"20150615103347P030055018369001",1,,,,,,,,,,,,,,,
"20150615130956P030047019047001",1,,,,,,,,,,,,,,,
"20150616163959P030057567617001",1,,,,,,,,,,,,,,,
"20150619105553P040064050369001",1,,,,,,,,,,,,,,,
"20150619112345P030053963703001",1,,,,,,,,,,,,,,,
"20150622114901P040056412439001",1,,,,,,,,,,,,,,,
"20150622164702P040070221009001",1,,,,,,,,,,,,,,,
"20150623164802P030060977703001",1,,,,,,,,,,,,,,,
"20150624125353P030062282247001",1,,,,,,,,,,,,,,,
"20150624160154P040073983745001",1,,,,,,,,,,,,,,,
"20150626190133P040062921431001",1,,,,,,,,,,,,,,,
"20150630083458P040085321697001",1,,,,,,,,,,,,,,,
"20150630122254P030072172807001",1,,,,,,,,,,,,,,,
"20150630184604P040069412071001",1,,,,,,,,,,,,,,,
"20150701081043P040070240487001",1,,,,,,,,,,,,,,,
"20150701132252P030086584513001",1,,,,,,,,,,,,,,,
"20150701135055P040087478305001",1,,,,,,,,,,,,,,,
"20150702083212P030088361393001",1,,,,,,,,,,,,,,,
"20150702144116P040072173335001",1,,,,,,,,,,,,,,,
"20150706112327P040078068151001",1,,,,,,,,,,,,,,,
"20150707082137P040098236465001",1,,,,,,,,,,,,,,,
"20150707090918P040079447079001",1,,,,,,,,,,,,,,,
"20150707091308P040079451975001",1,,,,,,,,,,,,,,,
"20150707130050P030084220903001",1,,,,,,,,,,,,,,,
"20150708114336P030026890349001",1,,,,,,,,,,,,,,,
"20150709123144P040032017181001",1,,,,,,,,,,,,,,,
"20150709130638P040102829393001",1,,,,,,,,,,,,,,,
"20150710083809P030089151559001",1,,,,,,,,,,,,,,,
